date,pm25,pm10
2022-12-11,29.0,28.0
2022-12-12,33.0,44.0
2022-12-13,57.0,43.0
2022-12-14,53.0,41.0
2022-12-15,47.0,33.0
2022-12-16,39.0,8.0
2022-12-17,7.0,11.0
2022-12-18,13.0,21.0
2022-12-19,15.0,18.0
2022-12-20,15.0,6.0
2022-12-21,6.0,35.0
2022-12-22,40.0,43.0
2022-12-23,47.0,39.0
2022-12-24,38.0,33.0
2022-12-25,29.0,30.0
2022-12-26,31.0,23.0
2022-12-27,30.0,19.5
2022-12-28,24.5,16.0
2022-12-29,19.0,16.0
2022-12-30,17.0,24.0
2022-12-31,25.0,21.0
2023-01-01,26.0,12.0
2023-01-02,9.0,11.0
2023-01-03,8.0,15.0
2023-01-04,11.0,15.0
2023-01-05,17.0,21.0
2023-01-06,24.0,17.0
2023-01-07,18.0,21.0
2023-01-08,27.0,13.0
2023-01-09,12.0,12.0
2023-01-10,9.0,14.0
2023-01-11,13.0,19.0
2023-01-12,18.0,35.0
2023-01-13,50.0,38.0
2023-01-14,43.0,41.0
2023-01-15,51.0,18.0
2023-01-16,22.0,9.0
2023-01-17,7.0,15.5
2023-01-18,16.0,22.0
2023-01-19,25.0,15.0
2023-01-20,18.0,17.0
2023-01-21,23.0,32.0
2023-01-22,47.0,26.0
2023-01-23,37.0,15.0
2023-01-24,21.0,5.0
2023-01-25,5.0,22.0
2023-01-26,25.0,18.0
2023-01-27,25.0,5.0
2023-01-28,6.0,23.0
2023-01-29,24.0,42.0
2023-01-30,39.0,42.0
2023-01-31,45.0,39.5
2023-02-01,42.3,37.0
2023-02-02,39.6,34.5
2023-02-03,36.9,32.0
2023-02-04,34.2,29.5
2023-02-05,31.5,27.0
2023-02-06,28.799999999999997,24.5
2023-02-07,26.099999999999998,22.0
2023-02-08,23.4,19.5
2023-02-09,20.7,17.0
2023-02-10,18.0,23.0
2023-02-11,25.0,24.0
2023-02-12,26.0,27.0
2023-02-13,32.0,28.0
2023-02-14,38.0,10.0
2023-02-15,10.0,32.0
2023-02-16,37.0,30.0
2023-02-17,37.0,28.0
2023-02-18,34.0,27.0
2023-02-19,33.0,22.0
2023-02-20,25.0,38.0
2023-02-21,46.0,32.0
2023-02-22,34.0,29.0
2023-02-23,28.0,28.0
2023-02-24,28.0,44.0
2023-02-25,60.0,38.0
2023-02-26,45.0,28.0
2023-02-27,32.0,17.0
2023-02-28,18.0,28.0
2023-03-01,29.0,30.0
2023-03-02,33.0,40.0
2023-03-03,48.0,40.0
2023-03-04,45.0,47.0
2023-03-05,63.0,44.0
2023-03-06,59.0,32.0
2023-03-07,32.0,31.0
