date,pm25,pm10,co,so2,no2,o3
2024-10-16,9.15,34.65,1170.0,0.7,12.42,16.8
2024-10-17,12.4,40.15,1305.0,0.7,12.42,14.4
2024-10-18,8.22,28.6,1260.0,0.7,12.42,24.0
2024-10-19,6.98,28.05,1170.0,0.7,9.18,13.8
2024-10-20,7.6,25.85,1530.0,0.7,11.88,19.8
2024-10-21,8.06,23.1,1575.0,0.7,12.42,18.6
2024-10-22,10.7,34.1,1530.0,0.7,21.6,18.6
2024-10-23,18.3,47.85,1440.0,0.7,22.14,31.8
2024-10-24,14.11,50.6,1395.0,0.7,20.52,34.8
2024-10-25,19.89,46.75,1350.0,0.7,18.89,44.4
2024-10-26,15.19,26.4,1440.0,0.7,12.42,46.8
2024-10-27,8.36,12.1,1440.0,0.7,13.5,51.6
2024-10-28,13.49,37.95,1845.0,0.7,23.76,42.0
2024-10-29,10.23,27.5,2160.0,0.7,28.08,45.6
2024-10-30,10.85,38.5,2520.0,0.7,30.24,19.2
2024-10-31,10.505555555555555,37.522222222222226,2460.0,0.7388888888888888,28.619999999999997,20.0
2024-11-01,10.161111111111111,36.544444444444444,2400.0,0.7777777777777777,27.0,20.8
2024-11-02,9.816666666666666,35.56666666666666,2340.0,0.8166666666666667,25.38,21.6
2024-11-03,9.472222222222221,34.58888888888889,2280.0,0.8555555555555555,23.759999999999998,22.4
2024-11-04,9.127777777777778,33.611111111111114,2220.0,0.8944444444444444,22.14,23.2
2024-11-05,8.783333333333333,32.63333333333333,2160.0,0.9333333333333333,20.52,24.0
2024-11-06,8.43888888888889,31.655555555555555,2100.0,0.9722222222222222,18.9,24.8
2024-11-07,8.094444444444445,30.677777777777777,2040.0,1.011111111111111,17.28,25.6
2024-11-08,7.75,29.7,1980.0,1.0499999999999998,15.66,26.4
2024-11-09,7.405555555555556,28.72222222222222,1920.0,1.0888888888888888,14.04,27.200000000000003
2024-11-10,7.061111111111112,27.744444444444444,1860.0,1.1277777777777778,12.419999999999998,28.0
2024-11-11,6.716666666666667,26.766666666666666,1800.0,1.1666666666666665,10.8,28.8
2024-11-12,6.372222222222223,25.788888888888888,1740.0,1.2055555555555555,9.18,29.6
2024-11-13,6.027777777777779,24.81111111111111,1680.0,1.2444444444444445,7.559999999999999,30.400000000000002
2024-11-14,5.683333333333334,23.833333333333332,1620.0,1.2833333333333332,5.940000000000001,31.200000000000003
2024-11-15,5.3388888888888895,22.855555555555554,1560.0,1.3222222222222222,4.32,32.0
2024-11-16,4.994444444444445,21.877777777777776,1500.0,1.3611111111111112,2.6999999999999993,32.800000000000004
2024-11-17,4.65,20.9,1440.0,1.4,1.08,33.6
2024-11-18,6.67,30.8,1260.0,1.05,1.08,30.6
2024-11-19,8.52,29.7,1440.0,0.7,1.08,32.4
2024-11-20,6.51,27.5,1350.0,0.7,27.0,39.6
2024-11-21,4.65,22.0,1215.0,0.7,23.22,18.0
2024-11-22,6.2,26.4,1260.0,0.7,20.52,12.0
2024-11-23,6.36,28.6,1170.0,0.7,17.82,17.4
2024-11-24,5.12,23.65,1080.0,0.7,13.5,16.8
2024-11-25,8.52,26.4,1440.0,0.7,21.06,10.8
2024-11-26,9.61,41.8,1170.0,0.7,24.84,12.0
2024-11-27,9.15,44.0,1080.0,0.7,21.06,24.6
2024-11-28,11.47,52.8,765.0,0.7,22.68,22.8
2024-11-29,12.71,47.85,0.0,0.7,29.16,15.0
